Time,Voltage,Force
0.018,1.4620,2.336
0.057,1.4559,2.466
0.091,1.5165,1.165
0.134,1.4444,2.710
0.157,1.4844,1.858
0.190,1.4958,1.614
0.214,1.4377,2.852
0.236,1.4703,2.160
0.268,1.5080,1.349
0.292,1.5104,1.298
0.315,1.4567,2.450
0.340,1.4357,2.894
0.369,1.4965,1.598
0.440,1.4424,2.752
0.482,1.4385,2.834
0.512,1.5158,1.181
0.578,1.4595,2.389
0.600,1.4353,2.902
0.642,1.4379,2.847
0.686,1.5193,1.105
0.709,1.4940,1.651
0.769,1.5159,1.178
0.823,1.5117,1.271
0.863,1.4357,2.894
0.891,1.4978,1.571
0.978,1.4820,1.909
1.013,1.4742,2.078
1.073,1.5088,1.333
1.106,1.4689,2.190
1.139,1.4548,2.490
1.188,1.4825,1.898
1.215,1.4453,2.691
1.252,1.5129,1.243
1.288,1.5115,1.273
1.336,1.5079,1.352
1.360,1.4679,2.211
1.409,1.4753,2.054
1.500,1.4458,2.681
1.544,1.4529,2.530
1.585,1.4608,2.363
1.614,1.4648,2.278
1.637,1.4384,2.837
1.694,1.4540,2.506
1.721,1.4424,2.752
1.759,1.4458,2.681
1.782,1.4457,2.683
1.808,1.5133,1.235
1.849,1.5119,1.265
1.876,1.5040,1.436
1.931,1.5010,1.500
1.970,1.4939,1.654
1.996,1.4504,2.583
2.037,1.4463,2.670
2.083,1.4405,2.792
2.122,1.4410,2.781
2.145,1.4645,2.283
2.187,1.4714,2.136
2.242,1.4403,2.797
2.293,1.5143,1.214
2.334,1.5135,1.230
2.361,1.4559,2.466
2.471,1.5093,1.322
2.539,1.4428,2.744
2.568,1.4899,1.740
2.591,1.5148,1.203
2.640,1.4409,2.784
2.675,1.5104,1.298
2.702,1.4689,2.190
2.765,1.4402,2.800
2.788,1.4833,1.882
2.855,1.5139,1.222
2.886,1.4538,2.511
2.909,1.4989,1.546
2.953,1.4640,2.294
2.991,1.5084,1.341
3.019,1.5009,1.503
3.062,1.4425,2.750
3.085,1.4880,1.780
3.113,1.5145,1.208
3.137,1.4795,1.963
3.174,1.4720,2.123
3.209,1.5030,1.457
3.239,1.4389,2.826
3.272,1.5019,1.482
3.300,1.4553,2.480
3.334,1.5130,1.241
3.379,1.4469,2.657
3.408,1.5142,1.216
3.444,1.4560,2.464
3.486,1.4643,2.288
3.537,1.5027,1.465
3.561,1.4563,2.458
3.596,1.4513,2.564
3.644,1.4450,2.697
3.689,1.4930,1.673
3.743,1.4595,2.389
3.792,1.5015,1.490
3.848,1.5080,1.349
3.892,1.5110,1.284
3.915,1.4813,1.925
3.964,1.4533,2.522
4.011,1.5102,1.303
4.040,1.4647,2.280
4.088,1.4748,2.064
4.116,1.4515,2.559
4.155,1.4468,2.660
4.197,1.4420,2.760
4.221,1.4488,2.617
4.253,1.4670,2.230
4.296,1.4988,1.549
4.348,1.4689,2.190
4.394,1.4893,1.754
4.422,1.4455,2.686
4.456,1.4400,2.802
4.496,1.5084,1.341
4.523,1.4523,2.543
4.557,1.4624,2.328
4.586,1.4338,2.934
4.638,1.4508,2.575
4.696,1.4834,1.880
4.722,1.4417,2.768
4.745,1.4440,2.718
4.786,1.4517,2.557
4.823,1.4585,2.411
4.871,1.4984,1.557
4.922,1.4353,2.902
4.976,1.5089,1.330
5.013,1.5090,1.327
5.045,1.4490,2.612
5.074,1.4638,2.299
5.124,1.4638,2.299
5.162,1.4530,2.527
5.187,1.4344,2.921
5.225,1.4365,2.876
5.261,1.4420,2.760
5.292,1.4894,1.751
5.322,1.4364,2.879
5.348,1.4548,2.490
5.376,1.4589,2.403
5.409,1.5027,1.465
5.435,1.4943,1.646
5.461,1.4487,2.620
5.487,1.4367,2.873
5.510,1.4828,1.893
5.533,1.5092,1.325
5.584,1.4360,2.887
5.644,1.4602,2.376
5.701,1.4959,1.611
5.747,1.4348,2.913
5.773,1.4834,1.880
5.800,1.4408,2.786
5.847,1.4923,1.689
5.889,1.4975,1.576
5.921,1.4339,2.931
5.948,1.4662,2.248
5.985,1.4538,2.511
6.013,1.5119,1.265
6.092,1.5134,1.233
6.119,1.4737,2.088
6.170,1.4610,2.358
6.217,1.5025,1.468
6.258,1.4958,1.614
6.286,1.4823,1.904
6.310,1.5133,1.235
6.350,1.5128,1.246
6.373,1.4938,1.657
6.433,1.5080,1.349
6.493,1.5079,1.352
6.518,1.4988,1.549
6.573,1.5137,1.227
6.610,1.4435,2.728
6.655,1.5163,1.170
6.704,1.4364,2.879
6.750,1.5098,1.311
6.774,1.4992,1.541
6.800,1.4469,2.657
6.868,1.4194,3.236
6.890,1.4563,2.458
6.925,1.4153,3.322
6.964,1.3580,4.504
6.999,1.4234,3.152
7.065,1.2428,6.804
7.102,1.0234,10.880
7.131,1.0319,10.729
7.156,0.9218,12.634
7.186,0.8248,14.231
7.213,0.9265,12.554
7.244,0.9513,12.134
7.320,0.9680,11.846
7.385,0.9613,11.962
7.423,1.0097,11.122
7.452,1.0505,10.397
7.483,1.1288,8.971
7.506,1.1945,7.734
7.572,1.3044,5.588
7.615,1.3690,4.279
7.645,1.3789,4.076
7.688,1.4108,3.416
7.724,1.4528,2.533
7.774,1.4557,2.472
7.814,1.4957,1.616
7.838,1.4569,2.445
7.881,1.4519,2.551
7.924,1.4498,2.596
7.978,1.4803,1.947
8.005,1.4409,2.784
8.050,1.5073,1.365
8.097,1.4608,2.363
8.122,1.4390,2.823
8.145,1.4544,2.498
8.183,1.4495,2.602
8.221,1.4460,2.676
