Time,Voltage,Force
0.037,1.5112,1.281
0.064,1.4682,2.206
0.092,1.4628,2.320
0.125,1.4688,2.192
0.147,1.4602,2.376
0.169,1.4777,2.003
0.193,1.5212,1.064
0.219,1.5249,0.983
0.245,1.4788,1.979
0.283,1.4718,2.128
0.325,1.4673,2.224
0.368,1.4637,2.302
0.406,1.4593,2.395
0.428,1.4753,2.054
0.459,1.4800,1.952
0.492,1.5262,0.955
0.514,1.5164,1.167
0.544,1.4657,2.259
0.580,1.4603,2.373
0.602,1.5013,1.495
0.630,1.5134,1.233
0.663,1.4533,2.522
0.685,1.4749,2.062
0.713,1.5255,0.969
0.752,1.5312,0.846
0.792,1.4538,2.511
0.815,1.5012,1.498
0.851,1.5079,1.352
0.884,1.4594,2.392
0.906,1.4689,2.190
0.934,1.5194,1.102
0.980,1.4789,1.976
1.008,1.4534,2.519
1.030,1.4929,1.676
1.059,1.5314,0.841
1.081,1.5097,1.314
1.105,1.4632,2.312
1.132,1.5340,0.783
1.157,1.4942,1.649
1.179,1.5338,0.789
1.203,1.4854,1.837
1.233,1.5245,0.991
1.274,1.5292,0.890
1.308,1.4530,2.527
1.331,1.5009,1.503
1.353,1.5349,0.764
1.380,1.5004,1.514
1.404,1.4583,2.416
1.429,1.4693,2.182
1.471,1.4792,1.971
1.496,1.5253,0.974
1.521,1.5240,1.002
1.544,1.4743,2.075
1.566,1.4535,2.517
1.590,1.5028,1.463
1.615,1.5343,0.778
1.637,1.4998,1.527
1.671,1.5149,1.200
1.712,1.5204,1.081
1.737,1.5293,0.887
1.764,1.4778,2.000
1.790,1.5300,0.871
1.823,1.4544,2.498
1.851,1.5025,1.468
1.895,1.5057,1.400
1.921,1.4563,2.458
1.955,1.5328,0.811
1.990,1.4773,2.011
2.012,1.5259,0.961
2.037,1.5212,1.064
2.088,1.4534,2.519
2.126,1.4580,2.421
2.175,1.5347,0.770
2.211,1.4729,2.104
2.240,1.4833,1.882
2.276,1.5250,0.980
2.319,1.5300,0.871
2.350,1.4548,2.490
2.378,1.5053,1.409
2.402,1.4612,2.355
2.432,1.5310,0.849
2.465,1.4910,1.716
2.488,1.4568,2.448
2.524,1.4554,2.477
2.547,1.4899,1.740
2.576,1.4572,2.440
2.605,1.4602,2.376
2.628,1.5035,1.446
2.656,1.5308,0.854
2.687,1.4690,2.187
2.710,1.5135,1.230
2.738,1.5277,0.923
2.770,1.4824,1.901
2.803,1.4779,1.998
2.826,1.4552,2.482
2.849,1.4967,1.595
2.872,1.5285,0.904
2.901,1.5043,1.430
2.923,1.4645,2.283
2.950,1.4683,2.203
2.978,1.4904,1.729
3.015,1.5185,1.121
3.062,1.4782,1.992
3.099,1.5269,0.939
3.122,1.5112,1.281
3.151,1.5005,1.511
3.185,1.4649,2.275
3.224,1.4608,2.363
3.248,1.4738,2.086
3.283,1.4840,1.866
3.325,1.4783,1.990
3.351,1.5269,0.939
3.407,1.4693,2.182
3.429,1.4628,2.320
3.461,1.4965,1.598
3.484,1.4612,2.355
3.508,1.4752,2.056
3.531,1.5192,1.108
3.557,1.5240,1.002
3.580,1.4775,2.006
3.609,1.4568,2.448
3.640,1.5102,1.303
3.664,1.4680,2.208
3.695,1.5293,0.887
3.720,1.4977,1.573
3.743,1.4604,2.371
3.774,1.5265,0.947
3.802,1.4845,1.856
3.825,1.4559,2.466
3.854,1.4890,1.759
3.877,1.5262,0.955
3.903,1.5108,1.290
3.931,1.5020,1.479
3.953,1.5307,0.857
3.976,1.5088,1.333
4.010,1.5130,1.241
4.044,1.4582,2.419
4.068,1.4819,1.912
4.106,1.4778,2.000
4.152,1.4959,1.611
4.182,1.4685,2.198
4.209,1.4628,2.320
4.236,1.4957,1.616
4.270,1.5135,1.230
4.297,1.5272,0.934
4.322,1.4833,1.882
4.346,1.4558,2.469
4.376,1.5169,1.157
4.405,1.4734,2.094
4.433,1.5282,0.912
4.471,1.4632,2.312
4.498,1.4965,1.598
4.524,1.4594,2.392
4.553,1.5272,0.934
4.576,1.5177,1.140
4.606,1.4553,2.480
4.628,1.4885,1.770
4.651,1.5255,0.969
4.688,1.4565,2.453
4.711,1.5014,1.492
4.735,1.5294,0.884
4.769,1.4673,2.224
4.791,1.5144,1.211
4.817,1.5268,0.942
4.844,1.4832,1.885
4.889,1.4884,1.772
4.911,1.5243,0.996
4.937,1.5119,1.265
4.961,1.4669,2.232
4.983,1.5038,1.441
5.006,1.4637,2.302
5.035,1.5278,0.920
5.057,1.4908,1.721
5.082,1.5267,0.944
5.116,1.5214,1.059
5.138,1.4775,2.006
5.162,1.5177,1.140
5.192,1.4948,1.635
5.217,1.5288,0.898
5.241,1.5032,1.455
5.272,1.5065,1.382
5.302,1.5295,0.882
5.325,1.4728,2.107
5.351,1.5168,1.159
5.382,1.5223,1.040
5.413,1.4888,1.764
5.464,1.4587,2.408
5.498,1.5040,1.436
5.528,1.4629,2.318
5.570,1.5127,1.249
5.604,1.4557,2.472
5.638,1.5224,1.037
5.666,1.4769,2.019
5.708,1.4947,1.638
5.746,1.4657,2.259
5.785,1.4638,2.299
5.818,1.5295,0.882
5.869,1.5179,1.135
5.901,1.5239,1.004
5.924,1.4770,2.016
5.950,1.4564,2.456
5.974,1.4945,1.641
6.003,1.4668,2.235
6.028,1.4615,2.347
6.056,1.5068,1.376
6.085,1.4592,2.397
6.112,1.4738,2.086
6.140,1.4830,1.888
6.165,1.4552,2.482
6.198,1.5173,1.148
6.226,1.4722,2.120
6.254,1.5278,0.920
6.280,1.5048,1.419
6.304,1.4628,2.320
6.331,1.4658,2.256
6.358,1.4912,1.713
6.381,1.5273,0.931
6.413,1.4795,1.963
6.442,1.4784,1.987
6.467,1.4553,2.480
6.502,1.5114,1.276
6.553,1.5289,0.895
6.583,1.4979,1.568
6.634,1.4595,2.389
6.657,1.5158,1.181
6.681,1.5253,0.974
6.709,1.4857,1.831
6.734,1.5260,0.958
6.758,1.5085,1.338
6.788,1.4947,1.638
6.811,1.4354,2.900
6.837,1.4555,2.474
6.866,1.3903,3.841
6.893,1.3829,3.994
6.918,1.3290,5.093
6.948,1.2455,6.750
6.975,1.2305,7.042
7.002,1.0939,9.613
7.028,1.0322,10.725
7.058,0.9590,12.001
7.091,0.8732,13.444
7.140,0.8945,13.091
7.163,0.8750,13.413
7.192,0.9145,12.756
7.221,1.0090,11.133
7.252,1.0697,10.053
7.289,1.0668,10.105
7.318,1.0757,9.945
7.343,1.0307,10.751
7.376,1.1239,9.061
7.406,1.0165,11.001
7.429,1.0029,11.240
7.461,1.2120,7.399
7.496,1.3337,5.000
7.537,1.4084,3.465
7.561,1.4109,3.413
7.599,1.4865,1.813
7.622,1.4807,1.939
7.647,1.4508,2.575
7.678,1.5238,1.007
7.714,1.5278,0.920
7.756,1.5204,1.081
7.808,1.4889,1.762
7.831,1.5028,1.463
7.856,1.5360,0.740
7.894,1.5325,0.816
7.917,1.4944,1.643
7.942,1.5328,0.811
7.971,1.4775,2.006
8.003,1.4818,1.915
8.028,1.4535,2.517
8.062,1.5169,1.157
8.096,1.5014,1.492
8.123,1.4648,2.278
8.156,1.5350,0.762
8.182,1.4969,1.589
8.205,1.4568,2.448
8.237,1.5304,0.863
8.267,1.4864,1.815
8.299,1.5285,0.904
8.339,1.5330,0.805
8.362,1.5120,1.262
8.404,1.5028,1.463
8.433,1.5138,1.224
8.458,1.5339,0.786
8.487,1.4770,2.016
8.516,1.5259,0.961
8.540,1.5260,0.958
8.568,1.4743,2.075
8.595,1.5328,0.811
8.619,1.5102,1.303
8.648,1.4554,2.477
8.678,1.5232,1.021
8.711,1.4512,2.567
8.735,1.5033,1.452
8.761,1.4974,1.579
8.787,1.4370,2.866
8.847,1.3322,5.030
8.875,1.3600,4.463
8.909,1.3040,5.595
8.934,1.2748,6.176
8.980,1.2070,7.495
9.003,1.1105,9.308
9.035,1.0793,9.879
9.059,1.0834,9.804
9.086,1.0075,11.159
9.114,1.0694,10.058
9.137,1.0957,9.581
9.163,1.0783,9.897
9.193,1.0848,9.779
9.232,1.2353,6.949
9.255,1.3960,3.722
9.290,1.4297,3.021
9.320,1.5217,1.053
9.346,1.4728,2.107
9.375,1.5327,0.814
9.402,1.5137,1.227
9.430,1.5085,1.338
9.460,1.5362,0.737
9.520,1.4927,1.681
9.546,1.4577,2.429
9.578,1.4860,1.823
9.611,1.4935,1.662
9.662,1.5130,1.241
9.720,1.5330,0.805
9.751,1.4729,2.104
9.783,1.4910,1.716
9.834,1.4870,1.802
9.861,1.4789,1.976
9.892,1.4595,2.389
9.922,1.5140,1.219
9.970,1.4652,2.270
9.994,1.5142,1.216
10.018,1.5337,0.792
10.051,1.4774,2.008
10.083,1.4859,1.826
10.107,1.4588,2.405
10.140,1.5192,1.108
10.169,1.4989,1.546
10.198,1.5320,0.827
10.257,1.5132,1.238
10.286,1.4598,2.384
10.341,1.4865,1.813
10.383,1.4808,1.936
10.407,1.4577,2.429
10.434,1.5000,1.522
10.458,1.5324,0.819
10.506,1.4654,2.264
10.537,1.5344,0.775
10.562,1.4928,1.678
10.594,1.5217,1.053
10.617,1.5277,0.923
10.647,1.4802,1.949
10.679,1.5288,0.898
10.703,1.5142,1.216
10.731,1.4698,2.171
10.760,1.5333,0.800
10.793,1.4707,2.152
10.829,1.4759,2.040
10.863,1.4867,1.810
10.913,1.4917,1.702
10.940,1.5280,0.914
10.968,1.4578,2.427
11.002,1.5072,1.368
11.029,1.4670,2.230
11.056,1.5334,0.797
11.092,1.4764,2.030
11.116,1.5214,1.059
11.150,1.4584,2.413
11.180,1.5225,1.034
11.215,1.4995,1.533
11.244,1.4700,2.166
11.272,1.4642,2.291
