Time,Voltage,Force
0.010,1.4625,2.326
0.035,1.4205,3.212
0.059,1.4497,2.599
0.082,1.5012,1.498
0.106,1.4973,1.581
0.132,1.4399,2.805
0.155,1.4205,3.212
0.177,1.4770,2.016
0.204,1.5128,1.246
0.225,1.4745,2.070
0.247,1.5132,1.238
0.280,1.4418,2.765
0.307,1.4592,2.397
0.335,1.4244,3.131
0.358,1.4632,2.312
0.380,1.5093,1.322
0.416,1.4297,3.021
0.439,1.4794,1.965
0.463,1.5137,1.227
0.499,1.4338,2.934
0.521,1.4848,1.850
0.545,1.5049,1.417
0.573,1.4568,2.448
0.595,1.4243,3.133
0.619,1.4583,2.416
0.655,1.4668,2.235
0.678,1.4308,2.997
0.701,1.4768,2.022
0.738,1.4824,1.901
0.760,1.5104,1.298
0.783,1.4884,1.772
0.829,1.4619,2.339
0.855,1.4300,3.013
0.877,1.4589,2.403
0.915,1.4663,2.246
0.952,1.4460,2.676
1.002,1.4793,1.968
1.031,1.4385,2.834
1.053,1.4438,2.723
1.091,1.4653,2.267
1.113,1.4339,2.931
1.135,1.4584,2.413
1.159,1.4994,1.536
1.190,1.4935,1.662
1.214,1.4484,2.625
1.241,1.5057,1.400
1.273,1.4387,2.831
1.302,1.4397,2.810
1.324,1.5083,1.344
1.356,1.4508,2.575
1.383,1.4954,1.622
1.442,1.4649,2.275
1.468,1.4500,2.591
1.493,1.4338,2.934
1.524,1.4793,1.968
1.570,1.4753,2.054
1.604,1.4903,1.732
1.626,1.5059,1.395
1.656,1.4559,2.466
1.700,1.4632,2.312
1.722,1.5025,1.468
1.749,1.4905,1.727
1.783,1.4774,2.008
1.806,1.5077,1.357
1.838,1.4412,2.779
1.861,1.4897,1.745
1.883,1.5072,1.368
1.920,1.4549,2.488
1.942,1.4984,1.557
1.970,1.4985,1.554
1.993,1.4520,2.549
2.037,1.4457,2.683
2.061,1.5057,1.400
2.090,1.4780,1.995
2.114,1.4379,2.847
2.139,1.4443,2.713
2.161,1.4930,1.673
2.188,1.5045,1.425
2.215,1.4614,2.350
2.238,1.4325,2.960
2.269,1.4935,1.662
2.291,1.4469,2.657
2.330,1.5070,1.371
2.367,1.5080,1.349
2.390,1.4712,2.142
2.425,1.4913,1.711
2.471,1.4588,2.405
2.512,1.4534,2.519
2.535,1.4317,2.979
2.570,1.4872,1.799
2.593,1.4447,2.705
2.621,1.5075,1.360
2.654,1.4439,2.720
2.685,1.4919,1.697
2.720,1.4324,2.963
2.770,1.4542,2.504
2.820,1.4720,2.123
2.851,1.4442,2.715
2.875,1.4375,2.855
2.908,1.4842,1.864
2.930,1.4363,2.881
2.957,1.4499,2.594
2.982,1.4950,1.630
3.004,1.5025,1.468
3.027,1.4994,1.536
3.049,1.4964,1.600
3.073,1.4518,2.554
3.095,1.4332,2.947
3.123,1.4787,1.981
3.147,1.5073,1.365
